<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.14	20:15:00	1.17981	1.18003	1.17966	1.17999	643	0	20
2017.12.14	20:30:00	1.17997	1.18002	1.17942	1.17963	637	0	19
2017.12.14	20:45:00	1.17961	1.17969	1.17896	1.17910	620	0	19
2017.12.14	21:00:00	1.17915	1.17952	1.17891	1.17901	600	0	19
2017.12.14	21:15:00	1.17900	1.17904	1.17871	1.17879	480	0	19
2017.12.14	21:30:00	1.17879	1.17942	1.17864	1.17893	379	0	19
2017.12.14	21:45:00	1.17891	1.17907	1.17843	1.17868	479	0	19
2017.12.14	22:00:00	1.17869	1.17875	1.17803	1.17816	520	0	19
2017.12.14	22:15:00	1.17816	1.17820	1.17788	1.17790	284	0	19
2017.12.14	22:30:00	1.17790	1.17800	1.17739	1.17752	485	0	19
2017.12.14	22:45:00	1.17752	1.17780	1.17739	1.17749	334	0	21
2017.12.14	23:00:00	1.17755	1.17793	1.17749	1.17776	173	0	37
2017.12.14	23:15:00	1.17780	1.17783	1.17711	1.17721	521	0	24
2017.12.14	23:30:00	1.17721	1.17766	1.17695	1.17702	624	0	24
2017.12.14	23:45:00	1.17722	1.17751	1.17637	1.17644	695	0	26
2017.12.15	00:00:00	1.17646	1.17707	1.17637	1.17694	667	0	21
2017.12.15	00:15:00	1.17696	1.17734	1.17694	1.17728	261	0	21
2017.12.15	00:30:00	1.17732	1.17742	1.17727	1.17739	195	0	21
2017.12.15	00:45:00	1.17737	1.17749	1.17727	1.17736	112	0	21
2017.12.15	01:00:00	1.17731	1.17776	1.17722	1.17776	426	0	20
2017.12.15	01:15:00	1.17778	1.17797	1.17762	1.17772	317	0	19
2017.12.15	01:30:00	1.17773	1.17833	1.17772	1.17832	374	0	19
2017.12.15	01:45:00	1.17832	1.17891	1.17823	1.17847	531	0	20
2017.12.15	02:00:00	1.17846	1.17878	1.17832	1.17868	383	0	20
2017.12.15	02:15:00	1.17868	1.17878	1.17837	1.17841	359	0	20
2017.12.15	02:30:00	1.17841	1.17841	1.17779	1.17790	328	0	20
2017.12.15	02:45:00	1.17790	1.17839	1.17786	1.17837	222	0	21
2017.12.15	03:00:00	1.17837	1.17858	1.17826	1.17844	364	0	20
2017.12.15	03:15:00	1.17844	1.17894	1.17844	1.17891	253	0	20
2017.12.15	03:30:00	1.17894	1.17902	1.17876	1.17888	193	0	20
2017.12.15	03:45:00	1.17886	1.17886	1.17824	1.17847	708	0	20
2017.12.15	04:00:00	1.17850	1.17853	1.17820	1.17847	427	0	20
