Licenciatura,1ero,Promedio,2do,3ero
Contaduria y Finanzas,9.63,9.876666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,0.0,0.0,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.87,8.716666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.7,9.233333333333333,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.9,8.959999999999999,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.57,8.546666666666667,7.659574468085107,6.971063829787231
Contaduria y Finanzas,8.77,8.826666666666666,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.3,9.1,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.23,8.503333333333332,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.2,8.826666666666666,7.659574468085107,6.971063829787231
Contaduria y Finanzas,7.73,7.91,7.659574468085107,6.971063829787231
Contaduria y Finanzas,9.83,9.243333333333332,7.659574468085107,6.971063829787231
Contaduria y Finanzas,6.0,2.0,7.659574468085107,6.971063829787231
Diseño Gráfico,5.99,6.123333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.22,8.456666666666665,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.39,8.513333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.96,6.960000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.49,8.906666666666668,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.98,8.299999999999999,6.2967032967032965,5.827252747252747
Diseño Gráfico,4.7,3.9,6.2967032967032965,5.827252747252747
Diseño Gráfico,5.79,7.18,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.31,9.020000000000001,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.92,7.223333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.31,6.4366666666666665,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.75,8.556666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.8,7.983333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.1,6.033333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.2,9.4,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.1,3.52,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.5,8.473333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.21,8.863333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.42,8.726666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.15,7.05,6.2967032967032965,5.827252747252747
Diseño Gráfico,4.2,1.7333333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.73,9.476666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,5.5,6.166666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,5.53,6.97,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.81,8.653333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.92,8.973333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,5.11,2.0366666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.99,7.276666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.74,8.373333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.93,9.103333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.34,6.78,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.97,3.9899999999999998,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.45,4.303333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.14,8.763333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.0,8.613333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.54,8.383333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.39,9.513333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.65,8.883333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.05,7.933333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.63,5.876666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.02,8.466666666666667,6.2967032967032965,5.827252747252747
